name	@lat	@lon	population
Euclides da Cunha Paulista	-22.5545200	-52.5927790	7924
Santo Anastácio	-21.9746620	-51.6526620	17963
Piquerobi	-21.8856652	-51.7296404	3264
Presidente Bernardes	-22.0064609	-51.5542973	14490
Ribeirão dos Índios	-21.8378246	-51.6021580	2025
Alfredo Marcondes	-21.9527000	-51.4139560	4445
Santo Expedito	-21.8508736	-51.3925315	3000
Emilianópolis	-21.8314360	-51.4831680	3014
Teodoro Sampaio	-22.5300202	-52.1686847	22173
Flora Rica	-21.6760063	-51.3804532	1487
Marabá Paulista	-22.1069936	-51.9629504	4573
Mirante do Paranapanema	-22.2925861	-51.9071430	15917
Estrela do Norte	-22.4886301	-51.6606857	2703
Sandovalina	-22.4560782	-51.7634004	3645
Tarabai	-22.3038726	-51.5628675	6536
Narandiba	-22.4080573	-51.5251755	5713
Pirapozinho	-22.2738742	-51.4998867	25348
Anhumas	-22.2956478	-51.3873401	4023
São João do Pau d'Alho	-21.2701055	-51.6654978	2242
Álvares Machado	-22.0764150	-51.4722400	27255
Dracena	-21.4835523	-51.5334408	45474
Nantes	-22.6191472	-51.2382255	2660
Taquarivaí	-23.9257829	-48.7005328	6876
Monte Castelo	-21.3006353	-51.5686963	4222
Nova Independência	-21.1066536	-51.4910804	4609
Itatinga	-23.1042417	-48.6134874	19070
Campina do Monte Alegre	-23.5935653	-48.4801876	5954
Buri	-23.7984900	-48.5989240	20250
Paranapanema	-23.3901610	-48.7208680	19395
Bofete	-23.1019554	-48.2610535	10460
Iepê	-22.6601650	-51.0778810	7619
Angatuba	-23.4938938	-48.4110675	24022
Pardinho	-23.0806795	-48.3768158	7153
Indiana	-22.1748508	-51.2534615	5090
Martinópolis	-22.1461530	-51.1709490	24881
Taciba	-22.3893943	-51.2888486	6260
Regente Feijó	-22.2191056	-51.3034558	20145
Cruzália	-22.7434438	-50.7911037	2108
Florínea	-22.9016004	-50.7268005	3851
Pedrinhas Paulista	-22.8157250	-50.7923590	2804
Rancharia	-22.2294981	-50.8922333	28588
Cândido Mota	-22.7434964	-50.3892400	29449
Maracaí	-22.6112679	-50.6670685	12673
Lutécia	-22.3383780	-50.3940070	2661
